text,gold_labels,generated
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","[['John Wilkes Booth', 'Kill', 'President Lincoln']]","[['John Wilkes Booth', 'Work_For', 'John Wilkes Booth']]"
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","[['Palace of Fine Arts', 'Located_In', 'San Francisco']]","[['Kevin O'Brien', 'Work_For', 'Palace of Fine Arts'], ['Kevin O'Brien', 'Work_For', 'San Francisco']]"
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","[['Wang Ziqiang', 'Work_For', 'Institute of Mechanics']]","[['Wang Ziqiang', 'Work_For', 'Institute of Mechanics']]"
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","[['Sun Hung Kai Properties', 'OrgBased_In', 'Hong Kong']]","[['Sun Hung Kai Properties', 'Work_For', 'Hong Kong']]"
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","[['Marie Magdefrau Ferraro', 'Live_In', 'Bethany'], ['Marie Magdefrau Ferraro', 'Live_In', 'Conn.'], ['Bethany', 'Located_In', 'Conn.']]","[['Marie Magdefrau Ferraro', 'Live_In', 'Bethany, Conn.']]"
"Ten oil workers were missing off Morgan City , La. , after their rig capsized while heading inland Monday to escape the storm.","[['Morgan City', 'Located_In', 'La.']]","[['10', 'Live_In', 'Lancaster, Pennsylvania']]"
"Lightning ignited a firestorm that charred 10 , 000 acres in central Idaho , including much of the small resort town of Lowman , about 70 miles northeast of Boise.","[['Lowman', 'Located_In', 'Idaho']]","[['Lowman', 'Located_In', 'Boise']]"
""" It ( Arrow ) is not practical in the short term , "" says former Air Force commander Avihu Bin-Nun .","[['Avihu Bin-Nun', 'Work_For', 'Air Force']]","[['Avihu Bin-Nun', 'Work_For', 'Air Force']]"
"The three reactors , all at the Savannah River Plant , in Aiken , S.C. , have been shut down since last April undergoing changes to make them safer .","[['Savannah River Plant', 'Located_In', 'Aiken'], ['Savannah River Plant', 'Located_In', 'S.C.'], ['Aiken', 'Located_In', 'S.C.']]","[['Savann River Plant', 'Located_In', 'Aiken'], ['Savann River Plant', 'OrgBased_In', 'S.C.']]"
"Composer Thomas is a native of Chisholm , Minn .","[['Thomas', 'Live_In', 'Chisholm'], ['Thomas', 'Live_In', 'Minn .'], ['Chisholm', 'Located_In', 'Minn .']]","[['Thomas', 'Live_In', 'Chisholm, Minn']]"
"Illinois Gov. James Thompson signed legislation last month scrapping Chicago 's central school board next July , to be replaced by parent-run councils empowered to set budgets and hire and fire principals .","[['James Thompson', 'Live_In', 'Illinois']]","[['James Thompson', 'Work_For', 'Illinois']]"
