text,true_relations,gold_relations,explanations
"Massachusetts ASTON MAGNA Great Barrington ; also at Bard College , Annandale-on-Hudson , N.Y. , July 1-Aug .","[['Annandale-on-Hudson', 0, 'Bard College']]","[['Annandale-on-Hudson', 'LOC_CONTAINS', 'Bard College']]","Explanations: Bard College is located in Annandale-on-Hudson, NY; "
"It will be the final movie credited to Debra Hill , a film producer and native of Haddonfield , who produced '' Halloween '' and was considered a pioneering woman in film .","[['Debra Hill', 7, 'Haddonfield']]","[['Debra Hill', 'PEO_PLACE_OF_BIRTH', 'Haddonfield']]",Explanations: Film producer Debra Hill was a native of (born-in) Haddonfield; 
"Under pressure from Mr. Kerkorian and other disgruntled shareholders , Mr. Wagoner started talks on Friday in Detroit with Carlos Ghosn , the chief executive of Renault and Nissan .","[['Carlos Ghosn', 15, 'Renault']]","[['Carlos Ghosn', 'BUS_COMPANY', 'Renault']]",Explanations: Carlos Ghosn is the chief executive officer of (member-of) Renault; 
"Mr. Ferrer still holds commanding leads over the other two Democrats in the race -- United States Representative Anthony D. Weiner of Brooklyn and Queens , and City Council Speaker Gifford Miller -- and is also ahead of Mayor Michael R. Bloomberg in most polls .","[['Anthony D. Weiner', 6, 'Brooklyn'], ['Anthony D. Weiner', 6, 'Queens']]","[['Anthony D. Weiner', 'PEO_PLACE_LIVED', 'Brooklyn'], ['Anthony D. Weiner', 'PEO_PLACE_LIVED', 'Queens']]",Explanations: Anthony D. Weiner was a representative of Brooklyn; Anthony D. Weiner also represented Queens; 
"Quebec , Canada 's second most populous province , after Ontario , has not decided to go that far .","[['Ontario', 1, 'Canada'], ['Canada', 0, 'Ontario'], ['Canada', 4, 'Ontario']]","[['Ontario', 'LOC_COUNTRY', 'Canada'], ['Canada', 'LOC_CONTAINS', 'Ontario'], ['Canada', 'LOC_ADMIN_DIVISIONS', 'Ontario']]",Explanations: City of Quebec is located in the country of Canada; Canada contains Ontario; Ontario is located in the administrative divisions of Canada; 
"And Abu Izzadeen , who converted to Islam at 17 and heads another successor group to Al Muhajiroun , called Al Ghurabaa , called suicide bombing '' martyrdom operations . ''","[['Abu Izzadeen', 10, 'Islam']]","[['Abu Izzadeen', 'PEO_RELIGION', 'Islam']]",Explanations: Abu Izzadeen converted to Islam at the age of 17; 
"And yet , despite the success of its exhibitions , the institute remains something of a strange hybrid : located southeast of Notre-Dame , in a striking building designed by Jean Nouvel , it has operated since 1987 as a partnership between France and 22 Arab countries .","[['Jean Nouvel', 5, 'France']]","[['Jean Nouvel', 'PEO_NATIONALITY', 'France']]","Explanations: Jean Nouvel designed the institute in Southeast of Notre Dame, France; "
"They could have done it Sunday , when we were closed , '' said Joseph Bastianich , who owns Del Posto with his mother , Lidia Bastianich , and the chef , Mario Batali .","[['Lidia Bastianich', 9, 'Joseph Bastianich']]","[['Lidia Bastianich', 'PEO_CHILDREN', 'Joseph Bastianich']]",Explanations: Lidia Bastianich is the mother of Joseph Bastianich; 
"A French court sentenced six Algerian-French men to prison terms of up to 10 years on Tuesday for their role in a 2001 plot to attack the United States Embassy in Paris , closing the books on one of France 's most serious terrorist cases .","[['Paris', 1, 'France'], ['France', 0, 'Paris'], ['France', 4, 'Paris'], ['France', 2, 'Paris']]","[['Paris', 'LOC_COUNTRY', 'France'], ['France', 'LOC_CONTAINS', 'Paris'], ['France', 'LOC_ADMIN_DIVISIONS', 'Paris'], ['France', 'LOC_CAPITAL', 'Paris']]","Explanations: French court in Paris sentenced men to prison for attacking US Embassy; France contains the city of Paris; US Embassy is located in the city of Paris, which is the capital of Fraince; "
"Anheuser-Busch , which has been the exclusive beer sponsor for the Super Bowl since 1989 , will do so again for the Super Bowls in 2007 and 2010 on CBS and in 2008 and 2011 on Fox Broadcasting , said Anthony T. Ponturo , vice president for global media and sports marketing at Anheuser-Busch in St. Louis .","[['Anheuser-Busch', 17, 'St. Louis'], ['St. Louis', 0, 'Anheuser-Busch']]","[['Anheuser-Busch', 'BUS_PLACE_FOUNDED', 'St. Louis'], ['St. Louis', 'LOC_CONTAINS', 'Anheuser-Busch']]",Explanations: Anheuser-Busch was founded in St. Louis; St. Louis is located in the city of St. Louis; 
