input,explanations,gold_relations
TEXT: Newspaper ` Explains ' U.S. Interests Section Events FL1402001894 Havana Radio Reloj Network in Spanish 2100 GMT 13 Feb 94,Explanation: Radio Reloj Network is an organization based in Havana.</s>,"[['Radio Reloj Network', 'OrgBased_In', 'Havana']]"
"TEXT: The self-propelled rig Avco 5 was headed to shore with 14 people aboard early Monday when it capsized about 20 miles off the Louisiana coast , near Morgan City , Lifa said.",Explanation: Morgan City is a place located in Louisiana.</s>,"[['Morgan City', 'Located_In', 'Louisiana']]"
"TEXT: Annie Oakley , also known as Little Miss Sure Shot , was born Phoebe Ann Moses in Willowdell , Darke County , in 1860 .","Explanation: Annie Oakley, Little Miss Sure Shot, and Phoebe Ann Moses were all born in Willowdell, Darke County and thereby lived there.</s>","[['Annie Oakley', 'Live_In', 'Willowdell , Darke County'], ['Little Miss Sure Shot', 'Live_In', 'Willowdell , Darke County'], ['Phoebe Ann Moses', 'Live_In', 'Willowdell , Darke County']]"
"TEXT: Penry raped Pamela Moseley Carpenter on Oct. 15 , 1979 , in Livingston , Texas , then stabbed her to death .",Explanation: Livingston is a place located in Texas.</s>,"[['Livingston', 'Located_In', 'Texas']]"
TEXT: Anhui ` Surplus ' Rural Laborers Move to Cities OW1102132994 Beijing XINHUA in English 1313 GMT 11 Feb 94,Explanation: XINHUA is an organization based in Beijing.</s>,"[['XINHUA', 'OrgBased_In', 'Beijing']]"
"TEXT: Here are highlights of Lucille Ball 's career : 1911 _ Born Aug. 6 , 1911 in Jamestown N.Y. , the daughter of an electrician and concert pianist Desiree Ball. 1926",Explanation: Lucille Ball was born in Jamestown N.Y. and thus lived in Jamestown N.Y..</s>,"[['Lucille Ball', 'Live_In', 'Jamestown N.Y.']]"
"TEXT: John Wilkes Booth wasn 't a shiftless actor who killed Abraham Lincoln out of despondency over the South 's loss in the Civil War , but a Confederate intelligence agent , a new book contends .",Explanation: John Wilkes Booth was the actor who killed Abraham Lincoln.</s>,"[['John Wilkes Booth', 'Kill', 'Abraham Lincoln']]"
"TEXT: For singer and guitarist Bob Boyd , 57 , the Ranch has been home since he left Chattanooga , Tenn. , 35 years ago .","Explanation: Bob Boyd lived in Chattanooga, Tenn. before he left 35 years ago. It can be derived that Chattanooga is located in Tenn..</s>","[['Bob Boyd', 'Live_In', 'Chattanooga'], ['Bob Boyd', 'Live_In', 'Tenn.'], ['Chattanooga', 'Located_In', 'Tenn.']]"
TEXT: He has been the State Department 's refugee coordinator and is a former Harvard politics professor. _Ronald for the rank of ambassador during his tenure as U.S. negotiator on textile matters.,Explanation: The State Department and Harvard are two organizations based in the U.S..</s>,"[['State Department', 'OrgBased_In', 'U.S.'], ['Harvard', 'OrgBased_In', 'U.S.']]"
"TEXT: It is not and never has been designed or advertised as a threatening or abusive type of thing , ' ' said XBT spokesman Allan Fitzmaurice.",Explanation: Allan Fitzmaurice is a spokesman for XBT.</s>,"[['Allan Fitzmaurice.', 'Work_For', 'XBT']]"
"TEXT: In 1752 , flagmaker Betsy Ross was born in Philadelphia .",Explanation: Betsy Ross was born in Philadelphia and therefore lived in Philadelphia.</s>,"[['Betsy Ross', 'Live_In', 'Philadelphia']]"
"TEXT: Fire Island National Seashore , Patchogue , N.Y. ;",Explanation: Fire Island National Seashore is a place located in Patchogue and N.Y.. It can be inferred that Patchogue is located in N.Y..</s>,"[['Fire Island National Seashore', 'Located_In', 'Patchogue'], ['Fire Island National Seashore', 'Located_In', 'N.Y.'], ['Patchogue', 'Located_In', 'N.Y.']]"
TEXT: OW3004022094 Beijing XINHUA Domestic Service in Chinese 1149 GMT 29 Apr 94,Explanation: XINHUA is an organization based in Beijing.</s>,"[['XINHUA', 'OrgBased_In', 'Beijing']]"
