text,gold_labels,generated
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","[['John Wilkes Booth', 'Kill', 'President Lincoln']]","[['John Wilkes Booth', 'Kill', 'President Lincoln']]"
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","[['Palace of Fine Arts', 'Located_In', 'San Francisco']]","[['Palace of Fine Arts', 'OrgBased_In', 'San Francisco'], ['Kevin O'Brien', 'Work_For', 'the Palace of Fine Arts'], ['Kevin O'Brien', 'Live_In', 'San Francisco']]"
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","[['Wang Ziqiang', 'Work_For', 'Institute of Mechanics']]","[['Wang Ziqiang', 'Work_For', 'Institute of Mechanics']]"
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","[['Sun Hung Kai Properties', 'OrgBased_In', 'Hong Kong']]","[['Sun Hung Kai Properties', 'OrgBased_In', 'Hong Kong']]"
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","[['Marie Magdefrau Ferraro', 'Live_In', 'Bethany'], ['Marie Magdefrau Ferraro', 'Live_In', 'Conn.'], ['Bethany', 'Located_In', 'Conn.']]","[['Marie Magdefrau Ferraro', 'Live_In', 'Bethany'], ['Magdefrau Ferraro', 'Live_In', 'Conn.'], ['Bethany', 'Located_In', 'Conn.']]"
"Ten oil workers were missing off Morgan City , La. , after their rig capsized while heading inland Monday to escape the storm.","[['Morgan City', 'Located_In', 'La.']]","[['Morgan City', 'Located_In', 'La.']]"
"Lightning ignited a firestorm that charred 10 , 000 acres in central Idaho , including much of the small resort town of Lowman , about 70 miles northeast of Boise.","[['Lowman', 'Located_In', 'Idaho']]","[['Lotman', 'Located_In', 'Idaho']]"
""" It ( Arrow ) is not practical in the short term , "" says former Air Force commander Avihu Bin-Nun .","[['Avihu Bin-Nun', 'Work_For', 'Air Force']]","[['Avihu Bin-Nun', 'Work_For', 'Air Force']]"
"The three reactors , all at the Savannah River Plant , in Aiken , S.C. , have been shut down since last April undergoing changes to make them safer .","[['Savannah River Plant', 'Located_In', 'Aiken'], ['Savannah River Plant', 'Located_In', 'S.C.'], ['Aiken', 'Located_In', 'S.C.']]","[['Savana River Plant', 'OrgBased_In', 'Aiken'], ['Savana River Plant', 'OrgBased_In', 'S.C.'], ['Aiken', 'Located_In', 'S.C.']]"
"Composer Thomas is a native of Chisholm , Minn .","[['Thomas', 'Live_In', 'Chisholm'], ['Thomas', 'Live_In', 'Minn .'], ['Chisholm', 'Located_In', 'Minn .']]","[['Thomas', 'Live_In', 'Chisholm, Minn']]"
"Illinois Gov. James Thompson signed legislation last month scrapping Chicago 's central school board next July , to be replaced by parent-run councils empowered to set budgets and hire and fire principals .","[['James Thompson', 'Live_In', 'Illinois']]","[['James Thompson', 'Live_In', 'Illinois']]"
"During the 10-hour rescue , diver Brian Michaud of Millinocket hooked the men to harnesses , and rescuers dragged them to the surface with winches .","[['Brian Michaud', 'Live_In', 'Millinocket']]","[['Brian Michaud', 'Live_In', 'Millinocket']]"
The Warren Commission found Oswald acted alone in killing Kennedy .,"[['Oswald', 'Kill', 'Kennedy']]","[['Oswald', 'Kill', 'Kennedy']]"
( By Yang Jianbai ( 2799 1017 4101 ) of the Economic Research,"[['Yang Jianbai', 'Work_For', 'Economic Research']]","[['Yang Jianbai', 'Work_For', 'Economic Research']]"
"` ` He was going pretty fast , wasn 't he ? ' ' said Daniel Urquhart , 8 , of Aumsville , whose slug crept to the championship.","[['Daniel Urquhart', 'Live_In', 'Aumsville']]","[['Daniel Urquhart', 'Live_In', 'Aumsville']]"
"Kovacevic , a Serb , has come under fire from Serbian politicians and the republic 's press since the U.S. Congress last month passed two resolutions claiming there were human rights violations in the strife-torn southern province of Kosovo.","[['Congress', 'OrgBased_In', 'U.S.']]","[['Kovacevic', 'Live_In', 'Serbia']]"
"Martin Luther King III , a son of the slain civil rights leader , said the execution of King assassin James Earl Ray ` ` would not bring my father back. ' '","[['James Earl Ray', 'Kill', 'Martin Luther King III']]","[['James Earl Ray', 'Kill', 'Martin Luther King III']]"
"On this date : In 1833 , Benjamin Harrison , the 23rd President of the United States , was born in North Bend , Ohio .","[['Benjamin Harrison', 'Live_In', 'North Bend , Ohio']]","[['Benjamin Harrison', 'Live_In', 'North Bend, Ohio']]"
The book said Khrushchev 's order to ignore the blockade was disclosed in a largely unknown work by dissident Soviet historian Roy Medvedev .,"[['Khrushchev', 'Live_In', 'Soviet'], ['Roy Medvedev', 'Live_In', 'Soviet']]","[['Roy Medvedev', 'Live_In', 'Soviet']]"
"EDITOR 'S NOTE : Walter R. Mears , vice and columnist for The Associated Press , has reported on Washington and national politics for more than 25 years .","[['Walter R. Mears', 'Work_For', 'The Associated Press']]","[['Walter R. Mears', 'Work_For', 'The Associated Press']]"
"` ` The Germans just tunneled like rabbits , ' ' said Gerald Przenislawski , who operates La Valette Underground Military Museum.","[['Gerald Przenislawski', 'Work_For', 'La Valette Underground Military Museum.']]","[['Gerald Przenislawski', 'Work_For', 'La Valette Underground Military Museum']]"
"` ` With South Carolina being Jesse Jackson 's home state , there was a very strong incentive in the black community. ' '","[['Jesse Jackson', 'Live_In', 'South Carolina']]","[['Jesse Jackson', 'Live_In', 'South Carolina']]"
"Photo , Dueling Over a GunIt is a scene seared into the memories of Americans old enough to have watched it that November day in 1963 : Jack Ruby firing his .38-caliber Colt Cobra , above , at Lee Harvey Oswald , the man who had assassinated President John F. Kennedy two days earlier.","[['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]","[['Lee Harvey Oswald', 'Kill', 'President John F. Kennedy']]"
"In a statement at the airport before his departure , Cetin said that Turkey welcomed this step taken by Bosnians and Croats and hoped that real peace comes to Bosnia-Herzegovina when Serbs join this process too .","[['Cetin', 'Live_In', 'Turkey']]","[['Cetin', 'Live_In', 'Turkey']]"
"On Friday , U.S. Ambassador Vernon A. Walters displayed photographs of one Libyan jet showing shapes resembling missile pods on its wings and fuselage .","[['Vernon A. Walters', 'Live_In', 'U.S.']]","[['Vernon A. Walters', 'Live_In', 'U.S.']]"
"Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '","[['Mark Moseley', 'Work_For', 'National Football League']]","[['Mark Moseley', 'Work_For', 'National Football League']]"
"Hernandez Galicia 's allegedly corrupt Mexican Oil Workers Union controls more than half the lucrative drilling contracts issued by the state oil monopoly , Pemex .","[['Hernandez Galicia', 'Work_For', 'Mexican Oil Workers Union']]","[['Hernandez Galicia', 'Work_For', 'Mexican Oil Workers Union'], ['Mexican Oil Workers Union', 'OrgBased_In', 'Hernandez Galicia'], ['Mexican Oil Workers Union', 'OrgBased_In', 'Mexico'], ['Pemex', 'OrgBased_In', 'Mexico']]"
"You 'll pass through Rolling Fork , where Muddy Waters was born , close to Greenville , home of Nelson Street 's funky strip of blues clubs , and into Clarksdale , at the intersection of Highway 61 and another major road in blues lore , U.S. Highway 49. ;","[['Muddy Waters', 'Live_In', 'Rolling Fork']]","[['Muddy Waters', 'Live_In', 'Rolling Fork']]"
"` ` The Challenger accident marked a major change in the U.S. outlook and policies with respect to the flight of other than NASA astronauts , ' ' the National Aeronautics and Space Administration said in a policy statement .","[['NASA', 'OrgBased_In', 'U.S.'], ['National Aeronautics and Space Administration', 'OrgBased_In', 'U.S.']]","[['NASA', 'OrgBased_In', 'U.S.']]"
"` ` It 's not going to make you a whole bunch of money , but that 's not why we 're doing it , ' ' said Phil Fuhrer , vice of Gannett New Media. 1-900-WEATHER offers callers the current weather and a three-day forecast , plus skiing and highway conditions in the winter and coastal reports during the summer.","[['Phil Fuhrer', 'Work_For', 'Gannett New Media.']]","[['Phil Fuhrer', 'Work_For', 'Gainnet New Media']]"
PA2904034294 Guatemala City Teleonce Television in Spanish 0400 GMT 26 Apr 94,"[['Teleonce Television', 'OrgBased_In', 'Guatemala City']]","[['Teleonce Television', 'OrgBased_In', 'Guatemala City']]"
"DAYTON , Ohio ( AP )","[['DAYTON', 'Located_In', 'Ohio'], ['AP', 'OrgBased_In', 'DAYTON'], ['AP', 'OrgBased_In', 'Ohio']]","[['Dayton', 'Located_In', 'Ohio']]"
"In 1865 , four people were hanged in Washington , D.C. , after being convicted of conspiring with John Wilkes Booth in the assassination of President Lincoln .","[['John Wilkes Booth', 'Kill', 'President Lincoln']]","[['John Wilkes Booth', 'Kill', 'President Lincoln']]"
"San Gabriel River Channel , Azusa , Calif. ;","[['San Gabriel River Channel', 'Located_In', 'Azusa'], ['San Gabriel River Channel', 'Located_In', 'Calif.'], ['Azusa', 'Located_In', 'Calif.']]","[['San Gabriel River Channel', 'Located_In', 'Azure'], ['San Gabriel River Channel', 'Located_In', 'Calif.'], ['Azure', 'Located_In', 'Calif.']]"
He said that the Phnom Penh government has worked out several incentives to attract foreign investment in Cambodia .,"[['Phnom Penh government', 'OrgBased_In', 'Cambodia']]","[['Phnom Penh', 'OrgBased_In', 'Cambodia']]"
"Derwinski , a Republican from Chicago who served 24 years in Congress , publicly denied 1978 allegations that he leaked the information and refused to testify in the matter before a federal grand jury and the House Ethics Committee .","[['Derwinski', 'Live_In', 'Chicago'], ['Derwinski', 'Work_For', 'Congress']]","[['Derwinski', 'Work_For', 'Congress']]"
"BANGKOK , Thailand ( AP )","[['BANGKOK', 'Located_In', 'Thailand'], ['AP', 'OrgBased_In', 'BANGKOK'], ['AP', 'OrgBased_In', 'Thailand']]","[['BANGKOK', 'Located_In', 'Thailand'], ['AP', 'OrgBased_In', 'BANGKOK'], ['AP', 'OrgBased_In', 'Thailand']]"
"( Text ) Police Major Pramot Pansakun , the commander of the Region 2 Border Patrol Police ( BPP ) , Khon Kaen , and Thai and American narcotics suppression officials accompanied by reporters , spent more than 2 hours climbing a high mountain to destroy a Hmong poppy field located along the border between Dan Sai District in Loei Province , Nakhon Thai District in Phitsanulok Province , and Lomsak District in Phetchabun Province .","[['Pramot Pansakun', 'Work_For', 'Region 2 Border Patrol Police'], ['Dan Sai District', 'Located_In', 'Loei Province'], ['Nakhon Thai District', 'Located_In', 'Phitsanulok Province'], ['Lomsak District', 'Located_In', 'Phetchabun Province']]","[['Pramot Pansakun', 'Work_For', 'Region 2 Border Patrol Police'], ['Pramot Pansakun', 'Work_For', 'Border Patrol'], ['Pramot Pansakun', 'Work_For', 'BPP']]"
"Further buying was linked to rumors that the Chilean copper company Codelco was considering shutting down its smelter at Chuquicamata , the world 's largest copper mine , due to persistent mechanical problems , said Fred Demler , metals economist with Drexel Burnham Lambert Inc. in New York .","[['Fred Demler', 'Work_For', 'Drexel Burnham Lambert Inc.'], ['Fred Demler', 'Live_In', 'New York'], ['Drexel Burnham Lambert Inc.', 'OrgBased_In', 'New York']]","[['Fred Demler', 'Work_For', 'Drexel Burnham Lambert Inc.'], ['Fred Demler', 'Live_In', 'New York']]"
An urgent call for international help to avert food shortages in Poland went out both from last month 's Western economic summit in Paris and from Monday 's meeting in Brussels of 24 concerned nations chaired by the European Community Commission.,"[['European Community Commission.', 'OrgBased_In', 'Brussels']]","[['European Community', 'OrgBased_In', 'Paris']]"
"Cheek , 53 , is a former chief and charge in Addis Ababa , Ethiopia.","[['Addis Ababa', 'Located_In', 'Ethiopia.']]","[['Cheek', 'Live_In', 'Addis Ababa'], ['Cheek', 'Live_In', 'Ethiopia.'], ['Addis Ababa', 'Located_In', 'Ethiopia.']]"
"In 1881 , President James A. Garfield was shot by Charles J. Guiteau , a disappointed office-seeker , at the Washington railroad station .","[['Charles J. Guiteau', 'Kill', 'President James A. Garfield']]","[['Charles J. Guiteau', 'Kill', 'President James A. Garfield']]"
"Middle-class Argentines , among the most affluent in Latin America at one time , are so strapped now that they are selling off heirlooms that had been in their families since the days when beef and grain made Argentina one of the world 's wealthiest nations.","[['Argentina', 'Located_In', 'Latin America']]","[['Argentines', 'Live_In', 'Argentina'], ['Argentina', 'Live_In', 'Lat. America']]"
"` ` I don 't think there are any good answers why , ' ' said Virginia Towle of Wallingford , a family friend.","[['Virginia Towle', 'Live_In', 'Wallingford']]","[['Virginia Towle', 'Live_In', 'Wildenbrook']]"
"The meeting will be held at the request of the Soviet Union , which also plans direct talks with resistance leader Prince Norodom Sihanouk , said Sihanouk 's son and representative in Thailand , Prince Norodom Ranariddh .","[['Prince Norodom Ranariddh', 'Live_In', 'Thailand']]","[['Pearl Norodom Sihanouk', 'Live_In', 'Soviet Union'], ['Prince Norodom Ranariddh', 'Live_In', 'Thailand']]"
"Hundreds of children and adults sporting cowboy boots and hats turned out Wednesday to watch as Winterset 's busiest street was named for John Wayne , the community 's most famous native son .","[['John Wayne', 'Live_In', 'Winterset']]","[['John Wayne', 'Live_In', 'Winterset']]"
"River North 's nouvelle sensibilities also might be offended by the Ranch 's menu , which features items such as the ` ` Jesse James Steak ( A Steal ! ) , ' ' and the occasional ornery patron .","[['Ranch', 'OrgBased_In', 'River North']]","[['River North', 'OrgBased_In', 'California'], ['River North', 'OrgBased_In', 'Maine'], ['Jesse James Steak', 'OrgBased_In', 'California'], ['Jesse James Steak', 'OrgBased_In', 'Maine']]"
