text,gold_labels,explanations
"` ` With South Carolina being Jesse Jackson 's home state , there was a very strong incentive in the black community. ' '","[['Jesse Jackson', 'Live_In', 'South Carolina']]","Explanation: Since South Carolina is Jesse Jackson's home state, it is concluded that Jesse Jackson Lived In South Carolina."
"` ` The country was starved of resources , ' ' said Marcos Victorica , director of the Institute of Contemporary Studies.","[['Marcos Victorica', 'Work_For', 'Institute of Contemporary Studies.']]","Explanation: Since Marcos Victorica is the director of Institute of Contemporary Studies, it can be concluded that Marcos Victorica Works For the Institute of Contemporary Studies."
"Born in Athens , Psacharopoulos came to the United States at age 17 to enter Oberlin College , where he studied art history .","[['Oberlin College', 'OrgBased_In', 'United States']]","Explanation: Psacharopoulos came to the United States to study at the Oberlin College and therefore, it can be concluded that Oberlin College is an organization based in the United States."
"` ` One thing I have learned over the past 17 months is that the truth is hard to find , and it remains so , ' ' said Mrs. Higgins , 37 , who is a major inthe Marine Corps and works at the Pentagon as a public information officer.","[['Mrs. Higgins', 'Work_For', 'Marine Corps'], ['Mrs. Higgins', 'Work_For', 'Pentagon']]","Explanation: Mrs. Higgins is a major in the Marine Corps, it can be concluded that Mrs. Higgins Works For the Marine Corps and by extension, the Pentagon."
"By contrast , nearly 6 million square feet of downtown office space is newly completed , under construction or has received city permits , said Virginia Galle , a City Council member and CAP supporter .","[['Virginia Galle', 'Work_For', 'City Council']]","Explanation: Virginia Galle is a member of the city council, and therefore it can be concluded that Virginia Galle works for the city council."
"The three reactors , all at the Savannah River Plant , in Aiken , S.C. , have been shut down since last April undergoing changes to make them safer .","[['Savannah River Plant', 'Located_In', 'Aiken'], ['Savannah River Plant', 'Located_In', 'S.C.'], ['Aiken', 'Located_In', 'S.C.']]","Explanation: It is stated that the Savannah River Plant is located in Aiken, which is in-turn located in S.C.."
""" It ( Arrow ) is not practical in the short term , "" says former Air Force commander Avihu Bin-Nun .","[['Avihu Bin-Nun', 'Work_For', 'Air Force']]","Explanation: Since Avihu Bin-Nun is an Air Force commander, it can be concluded that Avihu Bin-Nun Works For the Air Force."
"In 1890 , the 34th President of the United States , Dwight D. Eisenhower , was born in Denison , Texas .","[['Dwight D. Eisenhower', 'Live_In', 'Denison , Texas']]","Explanation: Dwight D. Eisenhower was born in Denison, Texas."
"An abstract theory explaining the structure of minimal surface in Riemann 's multi-dimensional space has been developed by Wang Guangyan , with the assistance of his PhD student , at the Institute of Mathematics .","[['Wang Guangyan', 'Work_For', 'Institute of Mathematics']]","Explanation: Wang Guangyan advises PhD students at the Institute of Mathematics, therefore it can be concluded that Wang Guangyan Works For the Institute of Mathematics."
"The program , financed with a grant from the United States Agency for International Development , is aimed at reducing infant mortality in Madagascar , an island nation in the Indian Ocean off the eastern coast of Africa.","[['Madagascar', 'Located_In', 'Indian Ocean']]","Explanation: Madagascar is an island nation in Indian Ocean, therefore is Located In Indian Ocean."
"Evaluating Juppe 's visit , Cetin said that the French Government was not displaying a disturbing stand toward Turkey and was very careful in not intervening in Turkey 's internal affairs .","[['Juppe', 'Work_For', 'French Government'], ['Cetin', 'Live_In', 'Turkey'], ['Cetin', 'Live_In', 'Turkey']]","Explanation: juppe visited on behalf of the French Government, therefore it can be conlcuded that juppe Works For the French Government. Cetin spoke on behalf of Turkey, therefore it can be concluded that Cetin lives in and works for Turkey"
"FBI agents arrived at Sohn 's New Jersey home and escorted him to safety only 30 minutes before KCIA agents showed up , an unidentified senior law enforcement official told the Times .","[['Sohn', 'Live_In', 'New Jersey']]","Explanation: Since FBI arrived in New Jersey to visit Sohn's residence, it can be concluded that Sohn Lives In New Jersey."
"Becton Dickinson sells needle containers to doctors and hospitals but may develop a container for home use , said Linda Schmitt , an assistant product manager.","[['Linda Schmitt', 'Work_For', 'Becton Dickinson']]","Explanation: Linda Schmitt is a produce manager for Becton Dickinson's needle containers, therefore it can be concluded that Linda Schmitt Works For Becton Dickinson."
"Middle-class Argentines , among the most affluent in Latin America at one time , are so strapped now that they are selling off heirlooms that had been in their families since the days when beef and grain made Argentina one of the world 's wealthiest nations.","[['Argentina', 'Located_In', 'Latin America']]","Explanation: Since Argintines are some of the most afflient people in latin america, it can be concluded that Argentina is Located In Latin America."
As Rochester teacher union leader Adam Urbanski put it : ` ` We have set the table ; we have not served the meal yet. ' ',"[['Adam Urbanski', 'Live_In', 'Rochester']]","Explanation: Adam Urbanski is a union leaer for the Rochester's teacher union, therefore it can be concluded that Adam Urbanski lives in Rochester."
Walesa said Solidarity wants to avoid unrest .,"[['Walesa', 'Work_For', 'Solidarity']]","Explanation: Since Walesa spoke on behalf of Solidarity, it can be conluded that Walesa Works For Solidarity."
"` ` I don 't think there are any good answers why , ' ' said Virginia Towle of Wallingford , a family friend.","[['Virginia Towle', 'Live_In', 'Wallingford']]","Explanation: Since Virginia Towle is of Wallingford, it can be concluded that Virginia Towle Lives In Wallingford."
"Jesse Jackson easily won the Democratic precinct caucuses Saturday in his native South Carolina , while Sen. Bob Dole went on Illinois television for a half-hour plea for Republican votes in a state where he said he is the underdog .","[['Jesse Jackson', 'Live_In', 'South Carolina']]","Explanation: Jesse Jackson won the Democratic primary in South Carolina, therefore it can be concluded that Jesse Jackson Lives In South Carolina."
