input,relations,prefix,gold_relations
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","[['John Wilkes Booth', 'Kill', 'President Lincoln']]",CONLL04,"[['John Wilkes Booth', 'Kill', 'President Lincoln']]"
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","[['Palace of Fine Arts', 'Located_In', 'San Francisco']]",CONLL04,"[['Palace of Fine Arts', 'Located_In', 'San Francisco']]"
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","[['Wang Ziqiang', 'Work_For', 'Institute of Mechanics']]",CONLL04,"[['Wang Ziqiang', 'Work_For', 'Institute of Mechanics']]"
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","[['Sun Hung Kai Properties', 'OrgBased_In', 'Hong Kong']]",CONLL04,"[['Sun Hung Kai Properties', 'OrgBased_In', 'Hong Kong']]"
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","[['Marie Magdefrau Ferraro', 'Live_In', 'Bethany'], ['Bethany', 'Located_In', 'Conn.']]",CONLL04,"[['Marie Magdefrau Ferraro', 'Live_In', 'Bethany'], ['Marie Magdefrau Ferraro', 'Live_In', 'Conn.'], ['Bethany', 'Located_In', 'Conn.']]"
"Ten oil workers were missing off Morgan City , La. , after their rig capsized while heading inland Monday to escape the storm.","[['Morgan City', 'Located_In', 'La.']]",CONLL04,"[['Morgan City', 'Located_In', 'La.']]"
"Lightning ignited a firestorm that charred 10 , 000 acres in central Idaho , including much of the small resort town of Lowman , about 70 miles northeast of Boise.","[['Lowman', 'Located_In', 'Idaho']]",CONLL04,"[['Lowman', 'Located_In', 'Idaho']]"
""" It ( Arrow ) is not practical in the short term , "" says former Air Force commander Avihu Bin-Nun .","[['Avihu Bin-Nun', 'Work_For', 'Air Force']]",CONLL04,"[['Avihu Bin-Nun', 'Work_For', 'Air Force']]"
"The three reactors , all at the Savannah River Plant , in Aiken , S.C. , have been shut down since last April undergoing changes to make them safer .","[['Savannah River Plant', 'Located_In', 'Aiken'], ['Aiken', 'Located_In', 'S.C.']]",CONLL04,"[['Savannah River Plant', 'Located_In', 'Aiken'], ['Savannah River Plant', 'Located_In', 'S.C.'], ['Aiken', 'Located_In', 'S.C.']]"
"Composer Thomas is a native of Chisholm , Minn .","[['Composer Thomas', 'Live_In', 'Chisholm'], ['Chisholm', 'Located_In', 'Minn']]",CONLL04,"[['Thomas', 'Live_In', 'Chisholm'], ['Thomas', 'Live_In', 'Minn .'], ['Chisholm', 'Located_In', 'Minn .']]"
"During the 10-hour rescue , diver Brian Michaud of Millinocket hooked the men to harnesses , and rescuers dragged them to the surface with winches .","[['Brian Michaud', 'Live_In', 'Millinocket']]",CONLL04,"[['Brian Michaud', 'Live_In', 'Millinocket']]"
The Warren Commission found Oswald acted alone in killing Kennedy .,"[['Oswald', 'Kill', 'President Kennedy']]",CONLL04,"[['Oswald', 'Kill', 'Kennedy']]"
( By Yang Jianbai ( 2799 1017 4101 ) of the Economic Research,"[['Yang Jianbai', 'Work_For', 'Economic Research Institute of Northeast Securities Co. , Ltd.']]",CONLL04,"[['Yang Jianbai', 'Work_For', 'Economic Research']]"
