input,relations,prefix,gold_relations
"In Queens , North Shore Towers , near the Nassau border , supplanted a golf course , and housing replaced a gravel quarry in Douglaston .","[['Queens', 'LOC_CONTAINS', 'Douglaston']]",NYT,"[['Douglaston', 'LOC_NEIGHBORHOOD', 'Queens'], ['Queens', 'LOC_CONTAINS', 'Douglaston']]"
"Martin , the district attorney for Lehigh County in Pennsylvania , said that after his office 's review of the records , he was satisfied with Mr. Cullen 's denials .","[['Pennsylvania', 'LOC_CONTAINS', 'Lehigh County']]",NYT,"[['Pennsylvania', 'LOC_CONTAINS', 'Lehigh County']]"
"Martha Whitney Bagnall , the daughter of Whitney S. Bagnall and Roger S. Bagnall of New York , is to be married today in Rhinebeck , N.Y. , to Edward Bing Han , the son of Chou-Yeen Han and Bing-Hou Han of Hopewell Junction , N.Y. Lynn Tomalas , a Universal Life minister , is to officiate at the Wilderstein Preservation , a historic house on the Hudson River .","[['New York', 'LOC_CONTAINS', 'Rhinebeck']]",NYT,"[['New York', 'LOC_CONTAINS', 'Rhinebeck'], ['New York', 'LOC_CONTAINS', 'Hopewell Junction']]"
"Martha Whitney Bagnall , the daughter of Whitney S. Bagnall and Roger S. Bagnall of New York , is to be married today in Rhinebeck , N.Y. , to Edward Bing Han , the son of Chou-Yeen Han and Bing-Hou Han of Hopewell Junction , N.Y. Lynn Tomalas , a Universal Life minister , is to officiate at the Wilderstein Preservation , a historic house on the Hudson River .","[['New York', 'LOC_CONTAINS', 'Rhinebeck'], ['New York', 'LOC_CONTAINS', 'Hopewell Junction']]",NYT,"[['New York', 'LOC_CONTAINS', 'Rhinebeck'], ['New York', 'LOC_CONTAINS', 'Hopewell Junction']]"
"Some have called for a memorial to the lynched youth to join the many other shrines here in Waco , a city of 113,000 neighboring President Bush 's ranch in Crawford , and home to Baylor University , founded in 1845 , the first institution of higher learning in Texas and the largest Baptist university in the world .","[['Texas', 'LOC_CONTAINS', 'Waco']]",NYT,"[['Texas', 'LOC_CONTAINS', 'Waco']]"
"WHERE -- Kapalua , Hawaii WHAT -- 2-bedroom house HOW MUCH -- $ 7.95 million This 6,000-square-foot house on Maui has two outdoor showers in private gardens accessible from the houses two full bathrooms .","[['Hawaii', 'LOC_CONTAINS', 'Kapalua']]",NYT,"[['Hawaii', 'LOC_CONTAINS', 'Kapalua']]"
"The workers often arrive in convoys , like the 47 repair vehicles from FirstEnergy , a utility holding company in Akron , Ohio , that pulled into the Coliseum parking lot Saturday .","[['Ohio', 'LOC_CONTAINS', 'Akron']]",NYT,"[['Ohio', 'LOC_CONTAINS', 'Akron']]"
"Randall W. Helmick , the man whose job it is to get the lights back on in New Orleans and many other parts of Louisiana and southern Mississippi , had finally reached his limit .","[['Louisiana', 'LOC_CONTAINS', 'New Orleans']]",NYT,"[['Louisiana', 'LOC_CONTAINS', 'New Orleans']]"
But at least 20 cities in Norway have longer nights than Oslo .,"[['Norway', 'LOC_CONTAINS', 'Oslo']]",NYT,"[['Oslo', 'LOC_COUNTRY', 'Norway'], ['Norway', 'LOC_CAPITAL', 'Oslo'], ['Norway', 'LOC_ADMIN_DIVISIONS', 'Oslo'], ['Norway', 'LOC_CONTAINS', 'Oslo']]"
"After studying computer science at the University of Pennsylvania in Philadelphia , Mr. Yang took a job as a software engineer at an investment firm downtown .","[['Philadelphia', 'LOC_CONTAINS', 'University of Pennsylvania']]",NYT,"[['Philadelphia', 'LOC_CONTAINS', 'University of Pennsylvania']]"
"One author of the study , Dr. Pankaj J. Pasricha of the University of Texas Medical Branch at Galveston , said the test for changes in the gastrointestinal tract , an electrogastrogram , was painless and simple to perform .","[['Galveston', 'LOC_CONTAINS', 'University of Texas Medical Branch']]",NYT,"[['Galveston', 'LOC_CONTAINS', 'University of Texas Medical Branch']]"
"New York City detectives were looking into at least two unsolved cases in Queens , according to law enforcement officials .","[['New York City', 'LOC_CONTAINS', 'Queens']]",NYT,"[['New York City', 'LOC_CONTAINS', 'Queens']]"
"One ninth-century copy , from the Fulda monastery in Germany , was acquired in 1929 by the New York Academy of Medicine , along with thousands of other culinary books and documents .","[['Germany', 'LOC_CONTAINS', 'Fulda']]",NYT,"[['Germany', 'LOC_CONTAINS', 'Fulda']]"
"The remains of the Halat-Fidar bridge in Lebanon , on Aug. 4 , hours after Israeli airstrikes destroyed it and several other bridges along the main highway north of Beirut .","[['Lebanon', 'LOC_CONTAINS', 'Beirut']]",NYT,"[['Lebanon', 'LOC_CONTAINS', 'Beirut'], ['Lebanon', 'LOC_CAPITAL', 'Beirut']]"
"The remains of the Halat-Fidar bridge in Lebanon , on Aug. 4 , hours after Israeli airstrikes destroyed it and several other bridges along the main highway north of Beirut .","[['Lebanon', 'LOC_CONTAINS', 'Beirut'], ['Lebanon', 'LOC_CAPITAL', 'Beirut']]",NYT,"[['Lebanon', 'LOC_CONTAINS', 'Beirut'], ['Lebanon', 'LOC_CAPITAL', 'Beirut']]"
"A6 India Rethinks Attack Evidence Three weeks after the police in India accused Pakistan 's intelligence agency of colluding in serial bombings on the commuter train line in Mumbai , M. K. Narayanan , the Indian national security adviser , said in an interview broadcast on television that the evidence was short of '' clinching . ''","[['India', 'LOC_CONTAINS', 'Mumbai']]",NYT,"[['India', 'LOC_CONTAINS', 'Mumbai'], ['India', 'LOC_CONTAINS', 'Mumbai']]"
"A6 India Rethinks Attack Evidence Three weeks after the police in India accused Pakistan 's intelligence agency of colluding in serial bombings on the commuter train line in Mumbai , M. K. Narayanan , the Indian national security adviser , said in an interview broadcast on television that the evidence was short of '' clinching . ''","[['India', 'LOC_CONTAINS', 'Mumbai'], ['India', 'LOC_CONTAINS', 'Mumbai']]",NYT,"[['India', 'LOC_CONTAINS', 'Mumbai'], ['India', 'LOC_CONTAINS', 'Mumbai']]"
"While Mr. Bush was going to bat for Mr. Burns , Democrats were mounting a new effort against Senator Jon Kyl in Arizona , in a race the party had almost given up on .","[['Jon Kyl', 'PEO_PLACE_LIVED', 'Arizona']]",NYT,"[['Jon Kyl', 'PEO_PLACE_LIVED', 'Arizona']]"
"Shiites ' Role Deepens ; Envoy Is Threatened Basra , in southern Iraq , far from the insurgency , is being transformed into a Shiite mini-theocracy , forming a flash point because the political parties in Basra also wield significant influence in Baghdad .","[['Iraq', 'LOC_CAPITAL', 'Baghdad']]",NYT,"[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Baghdad']]"
"Shiites ' Role Deepens ; Envoy Is Threatened Basra , in southern Iraq , far from the insurgency , is being transformed into a Shiite mini-theocracy , forming a flash point because the political parties in Basra also wield significant influence in Baghdad .","[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Basra']]",NYT,"[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Baghdad']]"
"Shiites ' Role Deepens ; Envoy Is Threatened Basra , in southern Iraq , far from the insurgency , is being transformed into a Shiite mini-theocracy , forming a flash point because the political parties in Basra also wield significant influence in Baghdad .","[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Basra']]",NYT,"[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Baghdad']]"
"Shiites ' Role Deepens ; Envoy Is Threatened Basra , in southern Iraq , far from the insurgency , is being transformed into a Shiite mini-theocracy , forming a flash point because the political parties in Basra also wield significant influence in Baghdad .","[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Baghdad']]",NYT,"[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Basra'], ['Iraq', 'LOC_CONTAINS', 'Baghdad']]"
