text,gen,fn
"lightning ignited a firestorm that charred 10 , 000 acres in central idaho , including much of the small resort town of lowman , about 70 miles northeast of boise.","[['lotman', 'located_in', 'idaho']]","['lowman', 'located_in', 'idaho']"
"the three reactors , all at the savannah river plant , in aiken , s.c. , have been shut down since last april undergoing changes to make them safer .","[['savana river plant', 'orgbased_in', 'aiken'], ['savana river plant', 'orgbased_in', 's.c.'], ['aiken', 'located_in', 's.c.']]","['savannah river plant', 'located_in', 'aiken']"
"the three reactors , all at the savannah river plant , in aiken , s.c. , have been shut down since last april undergoing changes to make them safer .","[['savana river plant', 'orgbased_in', 'aiken'], ['savana river plant', 'orgbased_in', 's.c.'], ['aiken', 'located_in', 's.c.']]","['savannah river plant', 'located_in', 's.c.']"
"composer thomas is a native of chisholm , minn .","[['thomas', 'live_in', 'chisholm, minn']]","['thomas', 'live_in', 'minn .']"
"composer thomas is a native of chisholm , minn .","[['thomas', 'live_in', 'chisholm, minn']]","['chisholm', 'located_in', 'minn .']"
"kovacevic , a serb , has come under fire from serbian politicians and the republic 's press since the u.s. congress last month passed two resolutions claiming there were human rights violations in the strife-torn southern province of kosovo.","[['kovacevic', 'live_in', 'serbia']]","['congress', 'orgbased_in', 'u.s.']"
"on this date : in 1833 , benjamin harrison , the 23rd president of the united states , was born in north bend , ohio .","[['benjamin harrison', 'live_in', 'north bend, ohio']]","['benjamin harrison', 'live_in', 'north bend , ohio']"
the book said khrushchev 's order to ignore the blockade was disclosed in a largely unknown work by dissident soviet historian roy medvedev .,"[['roy medvedev', 'live_in', 'soviet']]","['khrushchev', 'live_in', 'soviet']"
"photo , dueling over a gunit is a scene seared into the memories of americans old enough to have watched it that november day in 1963 : jack ruby firing his .38-caliber colt cobra , above , at lee harvey oswald , the man who had assassinated president john f. kennedy two days earlier.","[['lee harvey oswald', 'kill', 'president john f. kennedy']]","['jack ruby', 'kill', 'lee harvey oswald']"
"` ` the challenger accident marked a major change in the u.s. outlook and policies with respect to the flight of other than nasa astronauts , ' ' the national aeronautics and space administration said in a policy statement .","[['nasa', 'orgbased_in', 'u.s.']]","['national aeronautics and space administration', 'orgbased_in', 'u.s.']"
"` ` it 's not going to make you a whole bunch of money , but that 's not why we 're doing it , ' ' said phil fuhrer , vice of gannett new media. 1-900-weather offers callers the current weather and a three-day forecast , plus skiing and highway conditions in the winter and coastal reports during the summer.","[['phil fuhrer', 'work_for', 'gainnet new media']]","['phil fuhrer', 'work_for', 'gannett new media.']"
"dayton , ohio ( ap )","[['dayton', 'located_in', 'ohio']]","['ap', 'orgbased_in', 'dayton']"
"dayton , ohio ( ap )","[['dayton', 'located_in', 'ohio']]","['ap', 'orgbased_in', 'ohio']"
"san gabriel river channel , azusa , calif. ;","[['san gabriel river channel', 'located_in', 'azure'], ['san gabriel river channel', 'located_in', 'calif.'], ['azure', 'located_in', 'calif.']]","['san gabriel river channel', 'located_in', 'azusa']"
"san gabriel river channel , azusa , calif. ;","[['san gabriel river channel', 'located_in', 'azure'], ['san gabriel river channel', 'located_in', 'calif.'], ['azure', 'located_in', 'calif.']]","['azusa', 'located_in', 'calif.']"
"derwinski , a republican from chicago who served 24 years in congress , publicly denied 1978 allegations that he leaked the information and refused to testify in the matter before a federal grand jury and the house ethics committee .","[['derwinski', 'work_for', 'congress']]","['derwinski', 'live_in', 'chicago']"
"( text ) police major pramot pansakun , the commander of the region 2 border patrol police ( bpp ) , khon kaen , and thai and american narcotics suppression officials accompanied by reporters , spent more than 2 hours climbing a high mountain to destroy a hmong poppy field located along the border between dan sai district in loei province , nakhon thai district in phitsanulok province , and lomsak district in phetchabun province .","[['pramot pansakun', 'work_for', 'region 2 border patrol police'], ['pramot pansakun', 'work_for', 'border patrol'], ['pramot pansakun', 'work_for', 'bpp']]","['dan sai district', 'located_in', 'loei province']"
"( text ) police major pramot pansakun , the commander of the region 2 border patrol police ( bpp ) , khon kaen , and thai and american narcotics suppression officials accompanied by reporters , spent more than 2 hours climbing a high mountain to destroy a hmong poppy field located along the border between dan sai district in loei province , nakhon thai district in phitsanulok province , and lomsak district in phetchabun province .","[['pramot pansakun', 'work_for', 'region 2 border patrol police'], ['pramot pansakun', 'work_for', 'border patrol'], ['pramot pansakun', 'work_for', 'bpp']]","['nakhon thai district', 'located_in', 'phitsanulok province']"
"( text ) police major pramot pansakun , the commander of the region 2 border patrol police ( bpp ) , khon kaen , and thai and american narcotics suppression officials accompanied by reporters , spent more than 2 hours climbing a high mountain to destroy a hmong poppy field located along the border between dan sai district in loei province , nakhon thai district in phitsanulok province , and lomsak district in phetchabun province .","[['pramot pansakun', 'work_for', 'region 2 border patrol police'], ['pramot pansakun', 'work_for', 'border patrol'], ['pramot pansakun', 'work_for', 'bpp']]","['lomsak district', 'located_in', 'phetchabun province']"
"further buying was linked to rumors that the chilean copper company codelco was considering shutting down its smelter at chuquicamata , the world 's largest copper mine , due to persistent mechanical problems , said fred demler , metals economist with drexel burnham lambert inc. in new york .","[['fred demler', 'work_for', 'drexel burnham lambert inc.'], ['fred demler', 'live_in', 'new york']]","['drexel burnham lambert inc.', 'orgbased_in', 'new york']"
an urgent call for international help to avert food shortages in poland went out both from last month 's western economic summit in paris and from monday 's meeting in brussels of 24 concerned nations chaired by the european community commission.,"[['european community', 'orgbased_in', 'paris']]","['european community commission.', 'orgbased_in', 'brussels']"
"middle-class argentines , among the most affluent in latin america at one time , are so strapped now that they are selling off heirlooms that had been in their families since the days when beef and grain made argentina one of the world 's wealthiest nations.","[['argentines', 'live_in', 'argentina'], ['argentina', 'live_in', 'lat. america']]","['argentina', 'located_in', 'latin america']"
"` ` i don 't think there are any good answers why , ' ' said virginia towle of wallingford , a family friend.","[['virginia towle', 'live_in', 'wildenbrook']]","['virginia towle', 'live_in', 'wallingford']"
"river north 's nouvelle sensibilities also might be offended by the ranch 's menu , which features items such as the ` ` jesse james steak ( a steal ! ) , ' ' and the occasional ornery patron .","[['river north', 'orgbased_in', 'california'], ['river north', 'orgbased_in', 'maine'], ['jesse james steak', 'orgbased_in', 'california'], ['jesse james steak', 'orgbased_in', 'maine']]","['ranch', 'orgbased_in', 'river north']"
it was filmed on location in tokyo and kyoto and is a co-production of children 's television worship and nhk network in japan .,"[['tokyo', 'located_in', 'japan'], ['nhk network', 'orgbased_in', 'japan']]","['kyoto', 'located_in', 'japan']"
"the self-propelled rig avco 5 with 14 people aboard was headed to shore early monday when it capsized about 20 miles off the louisiana coast , near morgan city , chevron spokesman jonathan lifa said.","[['avco 5', 'located_in', 'louisiana'], ['jonas lifa', 'work_for', 'chryslel'], ['jonas lifa', 'work_for', 'chevron'], ['morgan city', 'located_in', 'louisiana']]","['jonathan lifa', 'work_for', 'chevron']"
"sen. jake garn , r-utah , flew on the shuttle in april 1985 and rep. bill nelson , d-fla. , was aboard in january 1986 , at the invitation of nasa 's administrator .","[['jake garn', 'work_for', 'nasa']]","['bill nelson', 'work_for', 'nasa']"
ten soviet volunteers and their american counterparts plan to spend august in washington building homes for the poor as a return favor for help in earthquake-devastated soviet armenia.,"[['washington', 'located_in', 'soviet']]","['armenia.', 'located_in', 'soviet']"
"evaluating juppe 's visit , cetin said that the french government was not displaying a disturbing stand toward turkey and was very careful in not intervening in turkey 's internal affairs .","[['cetin', 'live_in', 'turkey']]","['juppe', 'work_for', 'french government']"
"jose vicente maldonado , the ecuadoran minister of industry , commerce , and integration , said that the foreign of the andean group ( colombia , bolivia , ecuador , peru , and venezuela ) , will study a new date for the summit .","[['juan vicente maldonado', 'live_in', 'ecuador'], ['juan vicente maldonado', 'work_for', 'ecuador']]","['andean group', 'orgbased_in', 'colombia']"
"jose vicente maldonado , the ecuadoran minister of industry , commerce , and integration , said that the foreign of the andean group ( colombia , bolivia , ecuador , peru , and venezuela ) , will study a new date for the summit .","[['juan vicente maldonado', 'live_in', 'ecuador'], ['juan vicente maldonado', 'work_for', 'ecuador']]","['andean group', 'orgbased_in', 'bolivia']"
"jose vicente maldonado , the ecuadoran minister of industry , commerce , and integration , said that the foreign of the andean group ( colombia , bolivia , ecuador , peru , and venezuela ) , will study a new date for the summit .","[['juan vicente maldonado', 'live_in', 'ecuador'], ['juan vicente maldonado', 'work_for', 'ecuador']]","['andean group', 'orgbased_in', 'ecuador']"
"jose vicente maldonado , the ecuadoran minister of industry , commerce , and integration , said that the foreign of the andean group ( colombia , bolivia , ecuador , peru , and venezuela ) , will study a new date for the summit .","[['juan vicente maldonado', 'live_in', 'ecuador'], ['juan vicente maldonado', 'work_for', 'ecuador']]","['andean group', 'orgbased_in', 'peru']"
"jose vicente maldonado , the ecuadoran minister of industry , commerce , and integration , said that the foreign of the andean group ( colombia , bolivia , ecuador , peru , and venezuela ) , will study a new date for the summit .","[['juan vicente maldonado', 'live_in', 'ecuador'], ['juan vicente maldonado', 'work_for', 'ecuador']]","['andean group', 'orgbased_in', 'venezuela']"
"dole 's wife , elizabeth , is a native of salisbury , n.c .","[['elizabeth', 'live_in', 'salisbury, n.c']]","['elizabeth', 'live_in', 'salisbury , n.c']"
"( text ) sofia , february 15 ( bta ) -- today the two main political forces in bulgaria , the bulgarian socialist ( formerly communist ) party ( bsp ) and the union of democratic forces ( sds ) announced their stand on the possible airstrikes in bosnia five days before the expiry of nato 's ultimatum .","[['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['union of democratic forces', 'orgbased_in', 'sofia'], ['sds', 'orgbased_in', 'sofia']]","['bta', 'orgbased_in', 'sofia']"
"( text ) sofia , february 15 ( bta ) -- today the two main political forces in bulgaria , the bulgarian socialist ( formerly communist ) party ( bsp ) and the union of democratic forces ( sds ) announced their stand on the possible airstrikes in bosnia five days before the expiry of nato 's ultimatum .","[['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['union of democratic forces', 'orgbased_in', 'sofia'], ['sds', 'orgbased_in', 'sofia']]","['bulgarian socialist ( formerly communist ) party', 'orgbased_in', 'bulgaria']"
"( text ) sofia , february 15 ( bta ) -- today the two main political forces in bulgaria , the bulgarian socialist ( formerly communist ) party ( bsp ) and the union of democratic forces ( sds ) announced their stand on the possible airstrikes in bosnia five days before the expiry of nato 's ultimatum .","[['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['union of democratic forces', 'orgbased_in', 'sofia'], ['sds', 'orgbased_in', 'sofia']]","['bsp', 'orgbased_in', 'bulgaria']"
"( text ) sofia , february 15 ( bta ) -- today the two main political forces in bulgaria , the bulgarian socialist ( formerly communist ) party ( bsp ) and the union of democratic forces ( sds ) announced their stand on the possible airstrikes in bosnia five days before the expiry of nato 's ultimatum .","[['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['union of democratic forces', 'orgbased_in', 'sofia'], ['sds', 'orgbased_in', 'sofia']]","['union of democratic forces', 'orgbased_in', 'bulgaria']"
"( text ) sofia , february 15 ( bta ) -- today the two main political forces in bulgaria , the bulgarian socialist ( formerly communist ) party ( bsp ) and the union of democratic forces ( sds ) announced their stand on the possible airstrikes in bosnia five days before the expiry of nato 's ultimatum .","[['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['bulgarian socialist party', 'orgbased_in', 'sofia'], ['union of democratic forces', 'orgbased_in', 'sofia'], ['sds', 'orgbased_in', 'sofia']]","['sds', 'orgbased_in', 'bulgaria']"
"starr , who served as counselor to attorney william french smith from 1981 prior to taking the bench in 1983 , had been mentioned as a possible supreme court nominee after his former colleague on the district of columbia circuit , robert bork , failed to win senate confirmation in 1987 .","[['starr', 'work_for', 'supreme court'], ['robert bork', 'work_for', 'district of columbia circuit']]","['supreme court', 'orgbased_in', 'district of columbia']"
"starr , who served as counselor to attorney william french smith from 1981 prior to taking the bench in 1983 , had been mentioned as a possible supreme court nominee after his former colleague on the district of columbia circuit , robert bork , failed to win senate confirmation in 1987 .","[['starr', 'work_for', 'supreme court'], ['robert bork', 'work_for', 'district of columbia circuit']]","['senate', 'orgbased_in', 'district of columbia']"
"the program , financed with a grant from the united states agency for international development , is aimed at reducing infant mortality in madagascar , an island nation in the indian ocean off the eastern coast of africa.","[['madanic', 'located_in', 'indian ocean']]","['madagascar', 'located_in', 'indian ocean']"
"minox has not shown a profit since 1981 , and on april 1 , 1988 , robert c. corduwener , a netherlands businessman bought a 51 percent share of the company to take control from the rinn family .","[['robert c. corduwener', 'live_in', 'norway']]","['robert c. corduwener', 'live_in', 'netherlands']"
"( text ) ulaanbaatar , 29 apr ( xinhua ) -- china 's premier li peng and mongolian prime p. jasray signed the "" treaty of friendly cooperation relations between the people 's republic of china and mongolia "" at the state palace in the afternoon of 29 april .","[['xinhua', 'orgbased_in', 'ulanbaatar'], ['xinhua', 'orgbased_in', 'mongolian']]","['xinhua', 'orgbased_in', 'china']"
"( text ) ulaanbaatar , 29 apr ( xinhua ) -- china 's premier li peng and mongolian prime p. jasray signed the "" treaty of friendly cooperation relations between the people 's republic of china and mongolia "" at the state palace in the afternoon of 29 april .","[['xinhua', 'orgbased_in', 'ulanbaatar'], ['xinhua', 'orgbased_in', 'mongolian']]","['xinhua', 'orgbased_in', ""people 's republic of china""]"
"( text ) ulaanbaatar , 29 apr ( xinhua ) -- china 's premier li peng and mongolian prime p. jasray signed the "" treaty of friendly cooperation relations between the people 's republic of china and mongolia "" at the state palace in the afternoon of 29 april .","[['xinhua', 'orgbased_in', 'ulanbaatar'], ['xinhua', 'orgbased_in', 'mongolian']]","['li peng', 'live_in', 'china']"
"( text ) ulaanbaatar , 29 apr ( xinhua ) -- china 's premier li peng and mongolian prime p. jasray signed the "" treaty of friendly cooperation relations between the people 's republic of china and mongolia "" at the state palace in the afternoon of 29 april .","[['xinhua', 'orgbased_in', 'ulanbaatar'], ['xinhua', 'orgbased_in', 'mongolian']]","['li peng', 'live_in', ""people 's republic of china""]"
"in 1874 , herbert clark hoover , the 31st president of the united states , was born in west branch , iowa .","[['herbert clark hoover', 'live_in', 'west branch, iowa']]","['herbert clark hoover', 'live_in', 'west branch , iowa']"
"( text ) the rwandan patriotic front ( rpf ) has rescued 2 , 000 people in bugesera in the southeastern part of rwanda .","[['bugesera', 'located_in', 'ruand']]","['bugesera', 'located_in', 'rwanda']"
