input,response
"TEXT: John Wilkes Booth , who assassinated President Lincoln , was an actor .","[[""John Wilkes Booth"", ""Occupation"", ""Actor""]]"
"TEXT: The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","[[""Kevin O'Brien"", ""Worked_For"", Palace of Fine Arts]]"
"TEXT: In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","[[""Wang Ziqiang"", ""Works_at"", ""Institute of Mechanics""]]"
"TEXT: Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","[[""Sun Hung Kai Properties"", ""Type"", ""Construction company""]]"
"TEXT: Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","[[""Marie Magdefrau Ferraro"", ""Death_Place"", ""Bethany, Connecticut""]]"
"TEXT: Ten oil workers were missing off Morgan City , La. , after their rig capsized while heading inland Monday to escape the storm.","[[""Morgan City"", ""is_part_of"", ""Louisiana""]]"
"TEXT: Lightning ignited a firestorm that charred 10 , 000 acres in central Idaho , including much of the small resort town of Lowman , about 70 miles northeast of Boise.","[[""Lowman"", ""is_part_of"", ""Idaho""]]"
"TEXT: "" It ( Arrow ) is not practical in the short term , "" says former Air Force commander Avihu Bin-Nun .","[[""Avihu Bin-Nun"", ""Rank"", ""General""]]"
"TEXT: The three reactors , all at the Savannah River Plant , in Aiken , S.C. , have been shut down since last April undergoing changes to make them safer .","[[""Savannah River Plant"", ""located_in"", ""Aiken, S.C.""]]"
"TEXT: Composer Thomas is a native of Chisholm , Minn .","[[""Joseph Thomas"", ""Born_in"", ""Chisholm, Minnesota""]]"
"TEXT: Illinois Gov. James Thompson signed legislation last month scrapping Chicago 's central school board next July , to be replaced by parent-run councils empowered to set budgets and hire and fire principals .","[[""Chicago"", ""Governor"", ""James Thompson""]]"
"TEXT: During the 10-hour rescue , diver Brian Michaud of Millinocket hooked the men to harnesses , and rescuers dragged them to the surface with winches .","[[""Brian Michaud"", ""Occupation"", ""Scuba diver""]]"
TEXT: The Warren Commission found Oswald acted alone in killing Kennedy .,"[[""Jack Ruby"", ""Killing"", ""John F. Kennedy""], [""John F. Kennedy"", ""Assassination"", ""John Lee Oswald""], [""John F. Kennedy"", ""Assassination"", ""Lyndon B. Johnson""]]"
TEXT: ( By Yang Jianbai ( 2799 1017 4101 ) of the Economic Research,"[[""Yang Jianbai"", ""Org"", Economic Research]]"
"TEXT: ` ` He was going pretty fast , wasn 't he ? ' ' said Daniel Urquhart , 8 , of Aumsville , whose slug crept to the championship.","[[""Daniel Urquhart"", ""Age"", 8]]"
"TEXT: Kovacevic , a Serb , has come under fire from Serbian politicians and the republic 's press since the U.S. Congress last month passed two resolutions claiming there were human rights violations in the strife-torn southern province of Kosovo.","[[""Kovacevic"", ""Nationality"", ""Serbian""]]"
"TEXT: Martin Luther King III , a son of the slain civil rights leader , said the execution of King assassin James Earl Ray ` ` would not bring my father back. ' '","[[""Martin Luther King III"", ""Son"", ""Martin Luther King Jr.""]]"
"TEXT: On this date : In 1833 , Benjamin Harrison , the 23rd President of the United States , was born in North Bend , Ohio .","[[""Benjamin Harrison"", ""President"", ""23rd""], [""Benjamin Harrison"", ""Born"", ""1833""], [""Benjamin Harrison"", ""Born"", ""North Bend, Ohio""]]"
TEXT: The book said Khrushchev 's order to ignore the blockade was disclosed in a largely unknown work by dissident Soviet historian Roy Medvedev .,"[[""Khrushchev"", ""Order_to_ignore"", ""Blockade""]]"
"TEXT: EDITOR 'S NOTE : Walter R. Mears , vice and columnist for The Associated Press , has reported on Washington and national politics for more than 25 years .","[[""Walter R. Mears"", ""Works_for"", ""The Associated Press""]]"
"TEXT: ` ` The Germans just tunneled like rabbits , ' ' said Gerald Przenislawski , who operates La Valette Underground Military Museum.","[[""La Valette Underground Military Museum"", ""Owner"", Gerald Przenislawski]]"
"TEXT: ` ` With South Carolina being Jesse Jackson 's home state , there was a very strong incentive in the black community. ' '","[[""Jesse Jackson"", ""Hometown"", ""South Carolina""]]"
"TEXT: Photo , Dueling Over a GunIt is a scene seared into the memories of Americans old enough to have watched it that November day in 1963 : Jack Ruby firing his .38-caliber Colt Cobra , above , at Lee Harvey Oswald , the man who had assassinated President John F. Kennedy two days earlier.","[[""Dueling Over a Gun"", ""Place"", Dallas]]"
"TEXT: In a statement at the airport before his departure , Cetin said that Turkey welcomed this step taken by Bosnians and Croats and hoped that real peace comes to Bosnia-Herzegovina when Serbs join this process too .","[[""Cetin"", ""departure"", ""at the airport before his departure""]]"
"TEXT: On Friday , U.S. Ambassador Vernon A. Walters displayed photographs of one Libyan jet showing shapes resembling missile pods on its wings and fuselage .","[[""Vernon A. Walters"", ""Worked_For"", ""United States""]]"
"TEXT: Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '","[[""Mark Moseley"", ""Sibling"", Pamela Moseley]]"
"TEXT: Hernandez Galicia 's allegedly corrupt Mexican Oil Workers Union controls more than half the lucrative drilling contracts issued by the state oil monopoly , Pemex .","[[""Hernandez Galicia"", ""Org"", ""Mexican Oil Workers Union""]]"
"TEXT: You 'll pass through Rolling Fork , where Muddy Waters was born , close to Greenville , home of Nelson Street 's funky strip of blues clubs , and into Clarksdale , at the intersection of Highway 61 and another major road in blues lore , U.S. Highway 49. ;","[[""Rolling Fork"", ""is_part_of"", Mississippi]]"
"TEXT: ` ` The Challenger accident marked a major change in the U.S. outlook and policies with respect to the flight of other than NASA astronauts , ' ' the National Aeronautics and Space Administration said in a policy statement .","[[""NASA"", ""Owner"", ""United States""]]"
"TEXT: ` ` It 's not going to make you a whole bunch of money , but that 's not why we 're doing it , ' ' said Phil Fuhrer , vice of Gannett New Media. 1-900-WEATHER offers callers the current weather and a three-day forecast , plus skiing and highway conditions in the winter and coastal reports during the summer.","[[""1-900-Weather"", ""Callers"", ""the current weather and a three-day forecast""]]"
TEXT: PA2904034294 Guatemala City Teleonce Television in Spanish 0400 GMT 26 Apr 94,"[[""PA2904034294"", ""Title"", ""Guatemala City Teleonce Television in Spanish 0400 GMT 26 Apr 94""]]"
"TEXT: DAYTON , Ohio ( AP )","[[""Dayton"", ""is_part_of"", ""Ohio""]]"
"TEXT: In 1865 , four people were hanged in Washington , D.C. , after being convicted of conspiring with John Wilkes Booth in the assassination of President Lincoln .","[[""John Wilkes Booth"", ""Assassination"", ""Abraham Lincoln""]]"
"TEXT: San Gabriel River Channel , Azusa , Calif. ;","[[""San Gabriel River Channel"", ""Location"", ""Azusa, California""]]"
TEXT: He said that the Phnom Penh government has worked out several incentives to attract foreign investment in Cambodia .,"[[""Phnom Penh"", ""is_part_of"", Cambodia]]"
"TEXT: Derwinski , a Republican from Chicago who served 24 years in Congress , publicly denied 1978 allegations that he leaked the information and refused to testify in the matter before a federal grand jury and the House Ethics Committee .","[[""Derwinski"", ""Office"", ""Congressman""]]"
"TEXT: BANGKOK , Thailand ( AP )","[[""Bangkok"", ""is_part_of"", ""Thailand""]]"
"TEXT: ( Text ) Police Major Pramot Pansakun , the commander of the Region 2 Border Patrol Police ( BPP ) , Khon Kaen , and Thai and American narcotics suppression officials accompanied by reporters , spent more than 2 hours climbing a high mountain to destroy a Hmong poppy field located along the border between Dan Sai District in Loei Province , Nakhon Thai District in Phitsanulok Province , and Lomsak District in Phetchabun Province .","[[""Pamot Pansakun"", ""Officer"", ""Border Patrol Police (BPP)""]]"
"TEXT: Further buying was linked to rumors that the Chilean copper company Codelco was considering shutting down its smelter at Chuquicamata , the world 's largest copper mine , due to persistent mechanical problems , said Fred Demler , metals economist with Drexel Burnham Lambert Inc. in New York .","[[""Drexel Burnham Lambert Inc."", ""City"", ""New York""]]"
TEXT: An urgent call for international help to avert food shortages in Poland went out both from last month 's Western economic summit in Paris and from Monday 's meeting in Brussels of 24 concerned nations chaired by the European Community Commission.,"[[""Paris"", ""City"", ""Brussels""]]"
"TEXT: Cheek , 53 , is a former chief and charge in Addis Ababa , Ethiopia.","[[""Cheek"", ""Office"", ""Addis Ababa""]]"
"TEXT: In 1881 , President James A. Garfield was shot by Charles J. Guiteau , a disappointed office-seeker , at the Washington railroad station .","[[""James A. Garfield"", ""Assassination"", ""Charles J. Guiteau""]]"
"TEXT: Middle-class Argentines , among the most affluent in Latin America at one time , are so strapped now that they are selling off heirlooms that had been in their families since the days when beef and grain made Argentina one of the world 's wealthiest nations.","[[""Argentina"", ""is_part_of"", ""Latin America""]]"
"TEXT: ` ` I don 't think there are any good answers why , ' ' said Virginia Towle of Wallingford , a family friend.","[[""Virginia Towle"", ""Friend"", ""Wallingford""]]"
"TEXT: The meeting will be held at the request of the Soviet Union , which also plans direct talks with resistance leader Prince Norodom Sihanouk , said Sihanouk 's son and representative in Thailand , Prince Norodom Ranariddh .","[[""Norodom Ranariddh"", ""Son"", ""Norodom Sihanouk""]]"
"TEXT: Hundreds of children and adults sporting cowboy boots and hats turned out Wednesday to watch as Winterset 's busiest street was named for John Wayne , the community 's most famous native son .","[[""John Wayne"", ""Native_Son"", ""Winterset, Iowa""]]"
"TEXT: River North 's nouvelle sensibilities also might be offended by the Ranch 's menu , which features items such as the ` ` Jesse James Steak ( A Steal ! ) , ' ' and the occasional ornery patron .","[[""River North"", ""has_a_name""]]"
TEXT: Police Find No Signs of Radiation Leak AU0202111694 Paris AFP in English 0107 GMT 2 Feb 94,"[[""Paris AFP"", ""language"", ""English""]]"
TEXT: It was filmed on location in Tokyo and Kyoto and is a co-production of Children 's Television Worship and NHK network in Japan .,"[[""Kyoto""], ""Showcased_in"", ""Tokyo""]]"
"TEXT: The self-propelled rig Avco 5 with 14 people aboard was headed to shore early Monday when it capsized about 20 miles off the Louisiana coast , near Morgan City , Chevron spokesman Jonathan Lifa said.","[[""Avco 5"", ""Capsule_name"", ""Avco 5""]]"
"TEXT: Sen. Jake Garn , R-Utah , flew on the shuttle in April 1985 and Rep. Bill Nelson , D-Fla. , was aboard in January 1986 , at the invitation of NASA 's administrator .","[[""Jake Garn"", ""Officer"", ""NASA Administrator""], [""Bill Nelson"", ""Officer"", ""NASA Administrator""], [""Jake Garn"", ""Officer"", ""Congressman""]]"
TEXT: Ten Soviet volunteers and their American counterparts plan to spend August in Washington building homes for the poor as a return favor for help in earthquake-devastated Soviet Armenia.,"[[""Washington"", ""has_a_river_name"", ""Washington River""]]"
"TEXT: Evaluating Juppe 's visit , Cetin said that the French Government was not displaying a disturbing stand toward Turkey and was very careful in not intervening in Turkey 's internal affairs .","[[""Cetin"", ""Visitor"", ""Juppe""]]"
"TEXT: Jose Vicente Maldonado , the Ecuadoran minister of industry , commerce , and integration , said that the foreign of the Andean Group ( Colombia , Bolivia , Ecuador , Peru , and Venezuela ) , will study a new date for the summit .","[[""Jose Vicente Maldonado"", ""Office"", ""Minister of Industry, Commerce and Integration""]]"
"TEXT: Dole 's wife , Elizabeth , is a native of Salisbury , N.C .","[[""Elizabeth Dole"", ""Native_name"", ""Salisbury, N.C.""]]"
"TEXT: ( Text ) Sofia , February 15 ( BTA ) -- Today the two main political forces in Bulgaria , the Bulgarian Socialist ( formerly Communist ) Party ( BSP ) and the Union of Democratic Forces ( SDS ) announced their stand on the possible airstrikes in Bosnia five days before the expiry of NATO 's ultimatum .","[[""Bulgarian Socialist Party"", ""former_name"", ""Bulgarian Communist Party""]]"
"TEXT: Starr , who served as counselor to Attorney William French Smith from 1981 prior to taking the bench in 1983 , had been mentioned as a possible Supreme Court nominee after his former colleague on the District of Columbia circuit , Robert Bork , failed to win Senate confirmation in 1987 .","[[""Robert Bork"", ""Years_on_the_Supreme_Court"", ""1987""]]"
"TEXT: The program , financed with a grant from the United States Agency for International Development , is aimed at reducing infant mortality in Madagascar , an island nation in the Indian Ocean off the eastern coast of Africa.","[[""Madagascar"", ""island"", ""Madagascar""]]"
TEXT: JN0704183294 Paris Radio Monte Carlo in Arabic 1700 GMT 7 Apr 94,"[[""Paris Radio Monte Carlo in Arabic"", ""Title"", ""7 Apr 94""]]"
"TEXT: On this date : In 1533 , the last Incan King of Peru , Atahualpa , was murdered on the orders of Spanish conqueror Francisco Pizarro .","[[""Atahualpa"", ""Kingdom"", ""Peru""]]"
"TEXT: ` ` We 'd play hearts for hours at a time , ' ' said Atlanta businessman Neil Estes.","[[""Neil Estes"", ""Occupation"", ""Businessman""]]"
"TEXT: Minox has not shown a profit since 1981 , and on April 1 , 1988 , Robert C. Corduwener , a Netherlands businessman bought a 51 percent share of the company to take control from the Rinn family .","[[""Robert C. Corduwener"", ""Nationality"", Netherlands]]"
